start,end,no_model,cond,B_X_n,B_Lag_1,Beta_X_n,Beta_Lag_1,R2,series_code,series_name,variant,window,lags
73,97,False,59.04979565007801,0.016922185711694897,-0.03341269620683548,4.338912238688755,-8.671609157472178,0.9783830879064339,05,Добыча угля,adj_smoothed,24,3
74,98,False,58.30067641196254,0.016933361595554353,-0.03373477224129276,4.2535503157597745,-8.40246631095367,0.9800079112375029,05,Добыча угля,adj_smoothed,24,3
75,99,False,56.63324834886757,0.016729490296394076,-0.03327756929233084,4.377767032609692,-8.363501886294173,0.9860876234491391,05,Добыча угля,adj_smoothed,24,3
76,100,False,60.14892275258369,0.016208936282431745,-0.03212196419589859,4.428693387080074,-8.446559927781724,0.983465985038253,05,Добыча угля,adj_smoothed,24,3
77,101,False,60.027106210739994,0.016934734524638277,-0.03402205179457598,4.744553917382638,-9.448183294823394,0.9799136716714679,05,Добыча угля,adj_smoothed,24,3
78,102,False,53.49537633877289,0.01709896301113529,-0.03396840889127805,4.678556193416059,-9.518810718126904,0.982617145155449,05,Добыча угля,adj_smoothed,24,3
79,103,False,57.13310836721876,0.016571036365708974,-0.03269289701053428,4.441427486577745,-9.018508940104551,0.9822116830329504,05,Добыча угля,adj_smoothed,24,3
80,104,False,60.91868854080853,0.0165203973819563,-0.03245128845531671,4.97594597413713,-9.582496790705786,0.9782578059584554,05,Добыча угля,adj_smoothed,24,3
81,105,False,61.20122766426701,0.01572454837643677,-0.03034132729089882,6.158817669653571,-11.157981111291154,0.9655425519055011,05,Добыча угля,adj_smoothed,24,3
82,106,False,66.59149403848522,0.015033866808872247,-0.028918392017002685,7.2891703160547445,-13.453189376350258,0.9526685621260002,05,Добыча угля,adj_smoothed,24,3
83,107,False,73.52717942442895,0.014233896853844328,-0.02758727278918438,7.02702077106486,-13.818943431646932,0.9615314209567902,05,Добыча угля,adj_smoothed,24,3
84,108,False,83.5935979379885,0.013332139298495862,-0.025775562596427354,6.130775323783334,-12.5958234885957,0.9675287787823504,05,Добыча угля,adj_smoothed,24,3
85,109,False,101.27876137441352,0.014535144571485628,-0.028427528112919466,6.274050099306185,-13.279517250090727,0.9606187698463907,05,Добыча угля,adj_smoothed,24,3
86,110,False,90.6676187064175,0.017453522316015296,-0.034960677850217704,6.9835526711207745,-15.031015859427281,0.959068369909732,05,Добыча угля,adj_smoothed,24,3
87,111,False,62.24146843319074,0.016726933169006558,-0.033362999183351914,5.688935218797642,-12.04211296869479,0.966061452295867,05,Добыча угля,adj_smoothed,24,3
