model,case,regime,segment,method,observation,degenerate_truth_share,degenerate_recall,degenerate_precision,informative_specificity,informative_retention,family_accuracy
mixed,mixed_q_1_5_gamma_neg_0_5,"отрицательная память, сильная",early,regression,noisy,0.625,1.0,0.9090909090909091,0.8333333333333334,0.8333333333333334,
mixed,mixed_q_1_5_gamma_neg_0_5,"отрицательная память, сильная",late,regression,noisy,1.0,1.0,1.0,,0.0,
mixed,mixed_q_1_5_gamma_neg_0_5,"отрицательная память, сильная",middle,regression,noisy,1.0,1.0,1.0,,0.0,
mixed,mixed_q_1_5_gamma_neg_0_8,"отрицательная память, очень сильная",early,direct,clean,0.7241379310344828,1.0,0.9545454545454546,0.875,0.875,0.2413793103448276
mixed,mixed_q_1_5_gamma_neg_0_8,"отрицательная память, очень сильная",late,direct,clean,1.0,1.0,1.0,,0.0,0.0
mixed,mixed_q_1_5_gamma_neg_0_8,"отрицательная память, очень сильная",middle,direct,clean,1.0,1.0,1.0,,0.0,0.0
mixed,mixed_q_1_5_gamma_neg_0_8,"отрицательная память, очень сильная",early,regression,clean,0.6666666666666666,1.0,0.9696969696969697,0.9375,0.9375,0.3125
mixed,mixed_q_1_5_gamma_neg_0_8,"отрицательная память, очень сильная",late,regression,clean,1.0,1.0,1.0,,0.0,0.0
mixed,mixed_q_1_5_gamma_neg_0_8,"отрицательная память, очень сильная",middle,regression,clean,1.0,1.0,1.0,,0.0,0.0
mixed,mixed_q_1_5_gamma_neg_0_8,"отрицательная память, очень сильная",early,direct,noisy,0.7241379310344828,1.0,0.9545454545454546,0.875,0.875,
mixed,mixed_q_1_5_gamma_neg_0_8,"отрицательная память, очень сильная",late,direct,noisy,1.0,1.0,1.0,,0.0,
mixed,mixed_q_1_5_gamma_neg_0_8,"отрицательная память, очень сильная",middle,direct,noisy,1.0,1.0,1.0,,0.0,
mixed,mixed_q_1_5_gamma_neg_0_8,"отрицательная память, очень сильная",early,regression,noisy,0.6666666666666666,1.0,0.9696969696969697,0.9375,0.9375,
mixed,mixed_q_1_5_gamma_neg_0_8,"отрицательная память, очень сильная",late,regression,noisy,1.0,1.0,1.0,,0.0,
mixed,mixed_q_1_5_gamma_neg_0_8,"отрицательная память, очень сильная",middle,regression,noisy,1.0,1.0,1.0,,0.0,
